"","Altura","Estado"
"202","2.26","A"
"203","1.733","A"
"204","1.645","A"
"205","2.225","A"
"206","1.211","A"
"207","2.023","A"
"208","1.728","A"
"209","2.196","A"
"210","1.268","A"
"211","1.615","A"
"212","1.702","A"
"213","2","A"
"214","1.522","A"
"215","1.995","A"
"216","1.997","A"
"217","1.536","A"
"218","1.614","A"
"219","1.574","A"
"220","1.665","A"
"221","1.906","A"
"222","1.567","A"
"223","1.961","A"
"224","1.666","A"
"225","1.46","A"
"226","1.633","A"
"227","1.683","A"
"228","1.5","A"
"229","2.04","A"
"230","1.397","A"
"231","1.18","A"
"232","2.134","A"
"233","2.122","A"
"234","1.68","A"
"235","1.949","A"
"236","2.197","A"
"237","1.691","A"
"238","1.61","A"
"239","2.18","A"
"240","1.953","A"
"241","1.654","A"
"242","2.067","A"
"243","2.068","A"
"244","1.539","A"
"245","1.726","A"
"246","1.817","A"
"247","1.673","A"
"248","2.246","A"
"249","1.687","A"
"250","2.198","A"
"251","2.033","A"
"252","1.671","A"
"253","1.875","A"
"254","1.79","A"
"255","1.941","A"
"256","1.771","A"
"257","1.818","A"
"258","1.576","A"
"259","1.502","A"
"260","1.514","A"
"261","1.756","A"
"262","1.693","A"
"263","1.452","A"
"264","2.2","A"
"265","1.811","A"
"266","2.073","A"
"267","2.157","A"
"268","1.611","A"
"269","1.819","A"
"270","2.081","A"
"271","2.062","A"
"272","1.629","A"
"273","1.59","A"
"274","1.866","A"
"275","1.387","A"
"276","1.711","A"
"277","1.401","A"
"278","1.738","A"
"279","1.852","A"
"280","1.907","A"
"281","1.674","A"
"282","1.683","A"
"283","2.08","A"
"284","1.681","A"
"285","2.017","A"
"286","1.682","A"
"287","2.376","A"
"288","1.429","A"
"289","2.029","A"
"290","2.149","A"
"291","1.946","A"
"292","1.61","A"
"293","1.835","A"
"294","1.905","A"
"295","2.062","A"
"296","1.807","A"
"297","1.447","A"
"298","1.615","A"
"299","1.915","A"
"300","1.954","A"
"301","1.772","A"
"302","2.308","A"
"303","1.907","A"
"304","1.467","A"
"305","2.178","A"
"306","1.153","A"
"307","1.767","A"
"308","1.881","A"
"309","1.499","A"
"310","1.83","A"
"311","1.666","A"
"312","1.761","A"
"313","2.324","A"
"314","2.28","A"
"315","1.761","A"
"316","2.278","A"
"317","1.595","A"
"318","1.467","A"
"319","1.881","A"
"320","1.722","A"
"321","1.23","A"
"322","1.975","A"
"323","1.865","A"
"324","1.556","A"
"325","1.342","A"
"326","1.727","A"
"327","1.895","A"
"328","1.196","A"
"329","1.596","A"
"330","1.633","A"
"331","1.998","A"
"332","1.58","A"
"333","2.134","A"
"334","2.471","A"
"335","1.05","A"
"336","2.175","A"
"337","2.314","A"
"338","1.66","A"
"339","1.802","A"
"340","1.874","A"
"341","1.941","A"
"342","1.965","A"
"343","1.801","A"
"344","1.982","A"
"345","2.057","A"
"346","2.122","A"
"347","1.16","A"
"348","1.54","A"
"349","1.885","A"
"350","1.864","A"
"351","2.039","A"
"352","1.281","A"
"353","1.52","A"
"354","2.587","A"
"355","1.961","A"
"356","2.036","A"
"357","1.685","A"
"358","1.614","A"
"359","1.527","A"
"360","1.931","A"
"361","1.946","A"
"362","1.68","A"
"363","1.99","A"
"364","1.896","A"
"365","2.137","A"
"366","1.458","A"
"367","1.58","A"
"368","1.214","A"
"369","1.595","A"
"370","1.765","A"
"371","2.412","A"
"372","1.191","A"
"373","1.415","A"
"374","1.695","A"
"375","1.647","A"
"376","1.734","A"
"377","2.228","A"
"378","1.301","A"
"379","1.717","A"
"380","1.16","A"
"381","1.855","A"
"382","2.169","A"
"383","1.795","A"
"384","1.925","A"
"385","1.548","A"
"386","1.41","A"
"387","1.571","A"
"388","1.802","A"
"389","1.239","A"
"390","2.138","A"
"391","1.934","A"
"392","1.077","A"
"393","1.154","A"
"394","1.455","A"
"395","1.37","A"
"396","1.224","A"
"397","1.958","A"
"398","1.994","A"
"399","1.804","A"
"400","1.738","A"
"401","2.109","A"
"402","1.983","A"
"403","2.067","A"
"404","1.788","A"
"405","2.002","A"
"406","1.562","A"
"407","1.737","A"
"408","1.652","A"
"409","1.805","A"
"410","1.812","A"
"411","1.568","A"
"412","1.718","A"
"413","1.901","A"
"414","2.452","A"
"415","2.25","A"
"416","1.504","A"
"417","1.903","A"
"418","2.009","A"
"419","1.526","A"
"420","1.642","A"
"421","1.961","A"
"422","1.004","A"
"423","1.61","A"
"424","1.908","A"
"425","1.567","A"
"426","1.599","A"
"427","1.448","A"
"428","2.795","A"
"429","1.251","A"
"430","1.914","A"
"431","1.785","A"
"432","1.922","A"
"433","2.046","A"
"434","1.606","A"
"435","2.161","A"
"436","2.028","A"
"437","1.729","A"
"438","1.436","A"
"439","2.115","A"
"440","1.74","A"
"441","1.888","A"
"442","1.795","A"
"443","1.676","A"
"444","2.029","A"
"445","1.439","A"
"446","1.855","A"
"447","1.946","A"
"448","2.279","A"
"449","1.84","A"
"450","1.851","A"
"451","2.357","A"
"452","1.268","A"
"453","1.766","A"
"454","1.341","A"
"455","1.99","A"
"456","1.982","A"
"457","1.798","A"
"458","2.063","A"
"459","1.966","A"
"460","2.149","A"
"461","2.116","A"
"462","2.271","A"
"463","1.943","A"
"464","1.814","A"
"465","1.581","A"
"466","1.556","A"
"467","1.954","A"
"468","2.041","A"
"469","1.385","A"
"470","1.995","A"
"471","2.007","A"
"472","1.823","A"
"473","1.669","A"
"474","1.658","A"
"475","1.66","A"
"476","1.972","A"
"477","1.481","A"
"478","2.346","A"
"479","1.632","A"
"480","1.646","A"
"481","2.326","A"
"482","1.674","A"
"483","1.685","A"
"484","2.269","A"
"485","2.095","A"
"486","1.857","A"
"487","1.934","A"
"488","2.057","A"
"489","1.911","A"
"490","1.203","A"
"491","1.777","A"
"492","1.855","A"
"493","1.447","A"
"494","1.467","A"
"495","1.602","A"
"496","2.138","A"
"497","1.958","A"
"498","2.002","A"
"499","1.688","A"
"500","2.154","A"
"501","1.871","A"
"502","1.603","A"
"503","1.543","A"
"504","1.975","A"
"505","1.341","A"
"506","2.016","A"
"507","2.034","A"
"508","2.112","A"
"509","1.431","A"
"510","1.583","A"
"511","1.777","A"
"512","1.274","A"
"513","1.915","A"
"514","1.524","A"
"515","2.141","A"
"516","1.848","A"
"517","1.518","A"
"518","2.226","A"
"519","1.491","A"
"520","1.699","A"
"521","1.331","A"
"522","1.943","A"
"523","1.665","A"
"524","2.046","A"
"525","2.045","A"
"526","1.761","A"
"527","1.705","A"
"528","1.827","A"
"529","2.088","A"
"530","1.466","A"
"531","1.869","A"
"532","1.863","A"
"533","2.192","A"
"534","2.179","A"
"535","1.735","A"
"536","1.603","A"
"537","2.503","A"
"538","2.047","A"
"539","1.861","A"
"540","1.407","A"
"541","2.129","A"
"542","1.896","A"
"543","1.523","A"
"544","2.074","A"
"545","2.335","A"
"546","1.399","A"
"547","1.764","A"
"548","1.909","A"
"549","1.509","A"
"550","1.728","A"
"551","1.143","A"
"552","2.192","A"
"553","1.373","A"
"554","1.464","A"
"555","1.68","A"
"556","2.208","A"
"557","1.781","A"
"558","1.998","A"
"559","1.631","A"
"560","1.51","A"
"561","1.872","A"
"562","1.943","A"
"563","2.162","A"
"564","1.673","A"
"565","2.19","A"
"566","1.756","A"
"567","2.299","A"
"568","1.971","A"
"569","2.134","A"
"570","1.651","A"
"571","2.149","A"
"572","1.929","A"
"573","1.171","A"
"574","2.048","A"
"575","1.873","A"
"576","1.76","A"
"577","2.153","A"
"578","1.848","A"
"579","1.987","A"
"580","2.003","A"
"581","1.233","A"
"582","0.901","A"
"583","1.642","A"
"584","1.616","A"
"585","2.021","A"
"586","1.78","A"
"587","1.98","A"
"588","1.409","A"
"589","1.48","A"
"590","2.318","A"
"591","1.657","A"
"592","1.339","A"
"593","2.041","A"
"594","2.06","A"
"595","1.367","A"
"596","2.095","A"
"597","0.936","A"
"598","1.553","A"
"599","1.697","A"
"600","1.965","A"
"601","2","A"
"602","0.909","A"
"603","1.673","A"
"604","1.586","A"
"605","1.833","A"
"606","1.942","A"
"607","1.644","A"
"608","2.031","A"
"609","1.71","A"
"610","1.449","A"
"611","1.62","A"
"612","1.49","A"
"613","2.572","A"
"614","1.67","A"
"615","1.926","A"
"616","2.307","A"
"617","1.519","A"
"618","1.092","A"
"619","1.637","A"
"620","1.987","A"
"621","2.261","A"
"622","1.177","A"
"623","2.215","A"
"624","2.013","A"
"625","2.201","A"
"626","2.265","A"
"627","1.856","A"
"628","1.758","A"
"629","1.845","A"
"630","1.604","A"
"631","2.148","A"
"632","1.37","A"
"633","1.983","A"
"634","1.809","A"
"635","1.909","A"
"636","1.314","A"
"637","1.863","A"
"638","1.907","A"
"639","1.765","A"
"640","1.789","A"
"641","1.864","A"
"642","1.928","A"
"643","1.661","A"
"644","2.209","A"
"645","2.052","A"
"646","1.662","A"
"647","1.198","A"
"648","1.754","A"
"649","2.298","A"
"650","2.154","A"
"651","1.685","A"
"652","1.733","A"
"653","2.448","A"
"654","1.166","A"
"655","1.79","A"
"656","2.179","A"
"657","1.782","A"
"658","1.977","A"
"659","2.153","A"
"660","1.63","A"
"661","1.751","A"
"662","1.873","A"
"663","1.649","A"
"664","1.562","A"
"665","1.8","A"
"666","2.059","A"
"667","1.527","A"
"668","1.592","A"
"669","2.436","A"
"670","1.832","A"
"671","2.014","A"
"672","1.496","A"
"673","2.242","A"
"674","1.377","A"
"675","1.85","A"
"676","1.813","A"
"677","1.524","A"
"678","1.657","A"
"679","1.475","A"
"680","1.969","A"
"681","2.011","A"
"682","1.807","A"
"683","1.806","A"
"684","1.238","A"
"685","2.501","A"
"686","1.77","A"
"687","1.681","A"
"688","2.073","A"
"689","1.728","A"
"690","1.782","A"
"691","1.946","A"
"692","1.803","A"
"693","1.435","A"
"694","2.186","A"
"695","1.747","A"
"696","1.726","A"
"697","1.597","A"
"698","1.849","A"
"699","1.845","A"
"700","1.65","A"
"701","1.892","A"
"702","2.114","A"
"703","1.938","A"
"704","1.884","A"
"705","1.773","A"
"706","1.955","A"
"707","1.966","A"
"708","2.294","A"
"709","1.656","A"
"710","1.899","A"
"711","1.577","A"
"712","1.709","A"
"713","1.781","A"
"714","1.888","A"
"715","1.322","A"
"716","1.916","A"
"717","1.417","A"
"718","1.895","A"
"719","1.902","A"
"720","2.07","A"
"721","2.002","A"
"722","1.238","A"
"723","2.079","A"
"724","1.566","A"
"725","1.604","A"
"726","2.019","A"
"727","1.497","A"
"728","2.263","A"
"729","1.939","A"
"730","1.675","A"
"731","2.012","A"
"732","1.705","A"
"733","1.62","A"
"734","1.425","A"
"735","1.563","A"
"736","2.633","A"
"737","1.825","A"
"738","1.912","A"
"739","1.439","A"
"740","2.253","A"
"741","1.933","A"
"742","1.662","A"
"743","1.785","A"
"744","2.018","A"
"745","1.464","A"
"746","1.022","A"
"747","1.809","A"
"748","1.943","A"
"749","1.841","A"
"750","1.739","A"
"751","1.371","A"
"752","2.107","A"
"753","1.687","A"
"754","2.181","A"
"755","1.589","A"
"756","1.647","A"
"757","2.194","A"
"758","2.321","A"
"759","1.763","A"
"760","1.888","A"
"761","1.88","A"
"762","1.513","A"
"763","1.502","A"
"764","1.523","A"
"765","1.841","A"
"766","1.942","A"
"767","1.951","A"
"768","1.548","A"
"769","1.173","A"
"770","1.748","A"
"771","2.284","A"
"772","1.748","A"
"773","1.962","A"
"774","1.806","A"
"775","1.691","A"
"776","2.182","A"
"777","1.67","A"
"778","1.379","A"
"779","1.867","A"
"780","1.452","A"
"781","2.203","A"
"782","1.833","A"
"783","1.524","A"
"784","1.786","A"
"785","1.478","A"
"786","1.759","A"
"787","1.992","A"
"788","1.975","A"
"789","1.639","A"
"790","2.039","A"
"791","2.133","A"
"792","1.835","A"
"793","1.888","A"
"794","2.023","A"
"795","1.323","A"
"796","2.199","A"
"797","1.477","A"
"798","2.26","A"
"799","2.143","A"
"800","1.959","A"
"801","1.578","A"
"802","1.296","A"
"803","2.14","A"
"804","1.217","A"
"805","1.638","A"
"806","1.438","A"
"807","1.725","A"
"808","1.892","A"
"809","2.119","A"
"810","1.999","A"
"811","1.991","A"
"812","1.914","A"
"813","1.732","A"
"814","2.051","A"
"815","2.257","A"
"816","2.097","A"
"817","2.152","A"
"818","2.083","A"
"819","2.037","A"
"820","1.87","A"
"821","1.315","A"
"822","2.344","A"
"823","1.812","A"
"824","1.415","A"
"825","1.516","A"
"826","1.553","A"
"827","1.685","A"
"828","1.487","A"
"829","2.511","A"
"830","1.963","A"
"831","1.9","A"
"832","2.034","A"
"833","2.165","A"
"834","2.098","A"
"835","2.347","A"
"836","1.974","A"
"837","1.822","A"
"838","2.088","A"
"839","1.35","A"
"840","1.989","A"
"841","1.613","A"
"842","1.749","A"
"843","1.352","A"
"844","1.845","A"
"845","1.714","A"
"846","1.411","A"
"847","1.698","A"
"848","1.387","A"
"849","2.197","A"
"850","1.894","A"
"851","1.825","A"
"852","1.721","A"
"853","2.274","A"
"854","1.838","A"
"855","1.464","A"
"856","1.992","A"
"857","1.729","A"
"858","2.101","A"
"859","1.739","A"
"860","2.078","A"
"861","1.502","A"
"862","1.865","A"
"863","1.841","A"
"864","1.643","A"
"865","1.727","A"
"866","2.18","A"
"867","1.694","A"
"868","1.677","A"
"869","1.841","A"
"870","1.375","A"
"871","1.796","A"
"872","1.266","A"
"873","2.131","A"
"874","2.015","A"
"875","1.696","A"
"876","1.846","A"
"877","1.61","A"
"878","1.867","A"
"879","2.103","A"
"880","1.814","A"
"881","2.072","A"
"882","1.735","A"
"883","2.059","A"
"884","1.671","A"
"885","1.96","A"
"886","1.967","A"
"887","2.006","A"
"888","1.968","A"
"889","0.976","A"
"890","1.529","A"
"891","2.118","A"
"892","1.702","A"
"893","2.28","A"
"894","2.39","A"
"895","2.253","A"
"896","1.693","A"
"897","1.815","A"
"898","1.823","A"
"899","2.085","A"
"900","2.38","A"
"901","1.4","A"
"902","1.734","A"
"903","1.581","A"
"904","1.81","A"
"905","2.201","A"
"906","1.339","A"
"907","1.63","A"
"908","1.638","A"
"909","1.877","A"
"910","1.924","A"
"911","1.789","A"
"912","1.94","A"
"913","2.397","A"
"914","1.259","A"
"915","2.197","A"
"916","1.933","A"
"917","1.502","A"
"918","2.141","A"
"919","1.732","A"
"920","1.835","A"
"921","1.555","A"
"922","2.135","A"
"923","1.911","A"
"924","1.612","A"
"925","2.201","A"
"926","2.18","A"
"927","1.859","A"
"928","1.773","A"
"929","1.931","A"
"930","1.747","A"
"931","1.894","A"
"932","1.445","A"
"933","1.947","A"
"934","1.777","A"
"935","2.023","A"
"936","1.875","A"
"937","1.757","A"
"938","1.226","A"
"939","1.442","A"
"940","1.602","A"
"941","2.013","A"
"942","1.851","A"
"943","1.575","A"
"944","1.817","A"
"945","1.377","A"
"946","1.708","A"
"947","2.098","A"
"948","2.168","A"
"949","2.039","A"
"950","1.89","A"
"951","1.572","A"
"952","1.845","A"
"953","1.518","A"
"954","2.142","A"
"955","1.711","A"
"956","1.605","A"
"957","2.216","A"
"958","0.855","A"
"959","1.509","A"
"960","1.617","A"
"961","1.686","A"
"962","1.654","A"
"963","1.701","A"
"964","1.673","A"
"965","1.186","A"
"966","1.901","A"
"967","1.385","A"
"968","1.863","A"
"969","1.71","A"
"970","1.617","A"
"971","1.651","A"
"972","1.617","A"
"973","1.722","A"
"974","1.88","A"
"975","2.026","A"
"976","1.929","A"
"977","1.85","A"
"978","1.681","A"
"979","2.012","A"
"980","2.011","A"
"981","1.686","A"
"982","1.443","A"
"983","1.776","A"
"984","2.069","A"
"985","2.096","A"
"986","2.567","A"
"987","1.43","A"
"988","1.836","A"
"989","1.821","A"
"990","1.848","A"
"991","1.781","A"
"992","2.254","A"
"993","1.862","A"
"994","1.901","A"
"995","1.783","A"
"996","1.505","A"
"997","2.14","A"
"998","1.783","A"
"999","2.336","A"
"1000","2.02","A"
"1001","1.753","B"
"1002","1.296","B"
"1003","1.244","B"
"1004","1.484","B"
"1005","1.887","B"
"1006","1.581","B"
"1007","1.868","B"
"1008","0.606","B"
"1009","2.575","B"
"1010","1.906","B"
"1011","1.751","B"
"1012","1.184","B"
"1013","2.314","B"
"1014","1.403","B"
"1015","1.938","B"
"1016","2.158","B"
"1017","1.705","B"
"1018","2.246","B"
"1019","1.6","B"
"1020","1.124","B"
"1021","2.244","B"
"1022","1.804","B"
"1023","1.92","B"
"1024","1.588","B"
"1025","1.56","B"
"1026","2.176","B"
"1027","1.269","B"
"1028","1.295","B"
"1029","2.321","B"
"1030","1.476","B"
"1031","1.836","B"
"1032","2.324","B"
"1033","0.395","B"
"1034","1.745","B"
"1035","2.535","B"
"1036","1.207","B"
"1037","1.13","B"
"1038","1.75","B"
"1039","1.326","B"
"1040","1.086","B"
"1041","0.416","B"
"1042","1.933","B"
"1043","1.17","B"
"1044","1.617","B"
"1045","0.851","B"
"1046","1.737","B"
"1047","1.496","B"
"1048","2.171","B"
"1049","1.466","B"
"1050","1.817","B"
"1051","1.541","B"
"1052","1.143","B"
"1053","2.086","B"
"1054","1.602","B"
"1055","1.836","B"
"1056","1.845","B"
"1057","0.819","B"
"1058","1.906","B"
"1059","0.721","B"
"1060","1.105","B"
"1061","1.287","B"
"1062","1.862","B"
"1063","2.163","B"
"1064","1.236","B"
"1065","1.987","B"
"1066","2.219","B"
"1067","1.41","B"
"1068","2.536","B"
"1069","1.248","B"
"1070","1.399","B"
"1071","2.175","B"
"1072","1.217","B"
"1073","1.954","B"
"1074","1.924","B"
"1075","1.164","B"
"1076","2.773","B"
"1077","1.345","B"
"1078","1.737","B"
"1079","2.145","B"
"1080","0.921","B"
"1081","1.898","B"
"1082","1.94","B"
"1083","1.773","B"
"1084","1.401","B"
"1085","1.304","B"
"1086","2.088","B"
"1087","1.223","B"
"1088","2.28","B"
"1089","0.622","B"
"1090","1.103","B"
"1091","1.055","B"
"1092","1.359","B"
"1093","2.523","B"
"1094","1.862","B"
"1095","2.156","B"
"1096","0.953","B"
"1097","0.263","B"
"1098","1.372","B"
"1099","2.043","B"
"1100","2.34","B"
"1101","2.309","B"
"1102","1.551","B"
"1103","1.805","B"
"1104","1.681","B"
"1105","1.176","B"
"1106","2.097","B"
"1107","1.504","B"
"1108","1.128","B"
"1109","1.963","B"
"1110","1.649","B"
"1111","1.249","B"
"1112","1.768","B"
"1113","0.412","B"
"1114","1.974","B"
"1115","2.408","B"
"1116","1.97","B"
"1117","1.91","B"
"1118","1.301","B"
"1119","1.982","B"
"1120","2.114","B"
"1121","1.421","B"
"1122","1.775","B"
"1123","0.487","B"
"1124","2.03","B"
"1125","1.731","B"
"1126","1.082","B"
"1127","2.008","B"
"1128","2.492","B"
"1129","1.735","B"
"1130","1.281","B"
"1131","1.621","B"
"1132","0.818","B"
"1133","1.396","B"
"1134","2.787","B"
"1135","1.112","B"
"1136","2.266","B"
"1137","1.695","B"
"1138","1.562","B"
"1139","1.851","B"
"1140","0.839","B"
"1141","2.147","B"
"1142","1.732","B"
"1143","1.412","B"
"1144","1.509","B"
"1145","1.707","B"
"1146","1.422","B"
"1147","2.124","B"
"1148","1.733","B"
"1149","1.134","B"
"1150","1.545","B"
"1151","1.809","B"
"1152","2.232","B"
"1153","1.727","B"
"1154","1.862","B"
"1155","1.353","B"
"1156","1.348","B"
"1157","2.391","B"
"1158","1.217","B"
"1159","2.332","B"
"1160","1.618","B"
"1161","1.803","B"
"1162","1.36","B"
"1163","0.879","B"
"1164","2.292","B"
"1165","1.485","B"
"1166","1.759","B"
"1167","0.664","B"
"1168","0.988","B"
"1169","1.211","B"
"1170","1.644","B"
"1171","2.302","B"
"1172","0.866","B"
"1173","1.017","B"
"1174","1.442","B"
"1175","2.25","B"
"1176","0.872","B"
"1177","1.465","B"
"1178","1.076","B"
"1179","1.786","B"
"1180","1.805","B"
"1181","2.469","B"
"1182","1.563","B"
"1183","1.485","B"
"1184","0.977","B"
"1185","2.027","B"
"1186","2.426","B"
"1187","2.222","B"
"1188","1.434","B"
"1189","1.25","B"
"1190","2.308","B"
"1191","1.838","B"
"1192","2.01","B"
"1193","1.253","B"
"1194","1.303","B"
"1195","2.14","B"
"1196","1.572","B"
"1197","1.637","B"
"1198","2.482","B"
"1199","2.091","B"
"1200","1.667","B"
"1201","2.145","B"
"1202","2.122","B"
"1203","1.919","B"
"1204","1.601","B"
"1205","2.394","B"
"1206","0.774","B"
"1207","1.812","B"
"1208","2.074","B"
"1209","1.982","B"
"1210","2.509","B"
"1211","1.778","B"
"1212","2.008","B"
"1213","1.462","B"
"1214","1.018","B"
"1215","1.853","B"
"1216","1.521","B"
"1217","1.035","B"
"1218","1.636","B"
"1219","1.418","B"
"1220","1.555","B"
"1221","1.116","B"
"1222","2.091","B"
"1223","0.899","B"
"1224","1.38","B"
"1225","1.89","B"
"1226","1.643","B"
"1227","1.79","B"
"1228","0.872","B"
"1229","1.44","B"
"1230","1.448","B"
"1231","2.513","B"
"1232","1.312","B"
"1233","1.649","B"
"1234","1.757","B"
"1235","1.009","B"
"1236","1.281","B"
"1237","1.056","B"
"1238","1.773","B"
"1239","1.181","B"
"1240","0.954","B"
"1241","2.727","B"
"1242","1.363","B"
"1243","1.363","B"
"1244","1.653","B"
"1245","1.871","B"
"1246","1.343","B"
"1247","1.901","B"
"1248","1.81","B"
"1249","1.918","B"
"1250","0.948","B"
"1251","1.978","B"
"1252","1.882","B"
"1253","1.227","B"
"1254","1.449","B"
"1255","1.899","B"
"1256","0.496","B"
"1257","1.404","B"
"1258","-0.092","B"
"1259","2.078","B"
"1260","2.219","B"
"1261","1.408","B"
"1262","1.286","B"
"1263","1.741","B"
"1264","2.055","B"
"1265","1.741","B"
"1266","1.61","B"
"1267","1.709","B"
"1268","2.675","B"
"1269","1.364","B"
"1270","1.269","B"
"1271","1.559","B"
"1272","1.706","B"
"1273","1.721","B"
"1274","1.156","B"
"1275","1.53","B"
"1276","2.251","B"
"1277","1.464","B"
"1278","2.017","B"
"1279","2.097","B"
"1280","0.748","B"
"1281","1.541","B"
"1282","2.361","B"
"1283","0.651","B"
"1284","1.683","B"
"1285","2.012","B"
"1286","1.231","B"
"1287","1.397","B"
"1288","1.345","B"
"1289","1.79","B"
"1290","1.894","B"
"1291","1.623","B"
"1292","1.219","B"
"1293","1.955","B"
"1294","1.341","B"
"1295","1.351","B"
"1296","1.188","B"
"1297","1.742","B"
"1298","0.974","B"
"1299","1.485","B"
"1300","1.639","B"
"1301","1.587","B"
"1302","0.681","B"
"1303","0.723","B"
"1304","1.584","B"
"1305","0.661","B"
"1306","1.711","B"
"1307","1.318","B"
"1308","1.969","B"
"1309","0.598","B"
"1310","1.874","B"
"1311","1.879","B"
"1312","2.235","B"
"1313","2.811","B"
"1314","0.771","B"
"1315","1.274","B"
"1316","1.557","B"
"1317","1.257","B"
"1318","2.915","B"
"1319","1.741","B"
"1320","1.218","B"
"1321","2.546","B"
"1322","1.311","B"
"1323","1.272","B"
"1324","1.132","B"
"1325","1.687","B"
"1326","1.635","B"
"1327","1.806","B"
"1328","1.61","B"
"1329","1.821","B"
"1330","1.697","B"
"1331","1.545","B"
"1332","1.835","B"
"1333","1.313","B"
"1334","1.332","B"
"1335","1.055","B"
"1336","2.018","B"
"1337","3.022","B"
"1338","1.451","B"
"1339","1.524","B"
"1340","2.124","B"
"1341","0.913","B"
"1342","1.831","B"
"1343","1.2","B"
"1344","0.507","B"
"1345","1.637","B"
"1346","0.939","B"
"1347","1.662","B"
"1348","1.633","B"
"1349","1.921","B"
"1350","1.752","B"
"1351","1.379","B"
"1352","1.736","B"
"1353","1.635","B"
"1354","1.331","B"
"1355","0.908","B"
"1356","1.588","B"
"1357","1.295","B"
"1358","1.253","B"
"1359","0.861","B"
"1360","1.809","B"
"1361","1.701","B"
"1362","2.016","B"
